	bpm	beat_type	time_signature	midi_filename	audio_filename	split	genre	num_measures
19	95	fill	4/4	drummer1/session1/107_funk_95_fill_4-4.mid	drummer1/session1/107_funk_95_fill_4-4.wav	train	funk	3
20	95	fill	4/4	drummer1/session1/108_funk_95_fill_4-4.mid	drummer1/session1/108_funk_95_fill_4-4.wav	train	funk	3
21	95	fill	4/4	drummer1/session1/109_funk_95_fill_4-4.mid	drummer1/session1/109_funk_95_fill_4-4.wav	train	funk	7
22	116	fill	4/4	drummer1/session1/11_jazz-funk_116_fill_4-4.mid	drummer1/session1/11_jazz-funk_116_fill_4-4.wav	train	jazz	4
23	95	fill	4/4	drummer1/session1/110_funk_95_fill_4-4.mid	drummer1/session1/110_funk_95_fill_4-4.wav	train	funk	7
24	95	fill	4/4	drummer1/session1/111_funk_95_fill_4-4.mid	drummer1/session1/111_funk_95_fill_4-4.wav	train	funk	3
25	95	fill	4/4	drummer1/session1/112_funk_95_fill_4-4.mid	drummer1/session1/112_funk_95_fill_4-4.wav	train	funk	8
26	95	fill	4/4	drummer1/session1/113_funk_95_fill_4-4.mid	drummer1/session1/113_funk_95_fill_4-4.wav	train	funk	8
27	95	fill	4/4	drummer1/session1/114_funk_95_fill_4-4.mid	drummer1/session1/114_funk_95_fill_4-4.wav	train	funk	4
28	95	fill	4/4	drummer1/session1/115_funk_95_fill_4-4.mid	drummer1/session1/115_funk_95_fill_4-4.wav	train	funk	3
29	95	fill	4/4	drummer1/session1/116_funk_95_fill_4-4.mid	drummer1/session1/116_funk_95_fill_4-4.wav	train	funk	3
30	95	fill	4/4	drummer1/session1/117_funk_95_fill_4-4.mid	drummer1/session1/117_funk_95_fill_4-4.wav	train	funk	3
31	95	fill	4/4	drummer1/session1/118_funk_95_fill_4-4.mid	drummer1/session1/118_funk_95_fill_4-4.wav	train	funk	3
32	95	fill	4/4	drummer1/session1/119_funk_95_fill_4-4.mid	drummer1/session1/119_funk_95_fill_4-4.wav	train	funk	3
33	116	fill	4/4	drummer1/session1/12_jazz-funk_116_fill_4-4.mid	drummer1/session1/12_jazz-funk_116_fill_4-4.wav	train	jazz	3
34	95	fill	4/4	drummer1/session1/120_funk_95_fill_4-4.mid	drummer1/session1/120_funk_95_fill_4-4.wav	train	funk	3
35	95	fill	4/4	drummer1/session1/121_funk_95_fill_4-4.mid	drummer1/session1/121_funk_95_fill_4-4.wav	validation	funk	3
36	95	fill	4/4	drummer1/session1/122_funk_95_fill_4-4.mid	drummer1/session1/122_funk_95_fill_4-4.wav	train	funk	3
37	95	fill	4/4	drummer1/session1/123_funk_95_fill_4-4.mid	drummer1/session1/123_funk_95_fill_4-4.wav	train	funk	4
38	95	fill	4/4	drummer1/session1/124_funk_95_fill_4-4.mid	drummer1/session1/124_funk_95_fill_4-4.wav	train	funk	4
39	95	fill	4/4	drummer1/session1/125_funk_95_fill_4-4.mid	drummer1/session1/125_funk_95_fill_4-4.wav	train	funk	4
40	125	beat	4/4	drummer1/session1/126_funk-fast_125_beat_4-4.mid	drummer1/session1/126_funk-fast_125_beat_4-4.wav	validation	funk	286
41	125	fill	4/4	drummer1/session1/127_funk-fast_125_fill_4-4.mid	drummer1/session1/127_funk-fast_125_fill_4-4.wav	train	funk	4
42	125	fill	4/4	drummer1/session1/128_funk-fast_125_fill_4-4.mid	drummer1/session1/128_funk-fast_125_fill_4-4.wav	train	funk	3
43	125	fill	4/4	drummer1/session1/129_funk-fast_125_fill_4-4.mid	drummer1/session1/129_funk-fast_125_fill_4-4.wav	train	funk	4
44	116	fill	4/4	drummer1/session1/13_jazz-funk_116_fill_4-4.mid	drummer1/session1/13_jazz-funk_116_fill_4-4.wav	train	jazz	4
45	125	fill	4/4	drummer1/session1/130_funk-fast_125_fill_4-4.mid	drummer1/session1/130_funk-fast_125_fill_4-4.wav	train	funk	3
46	125	fill	4/4	drummer1/session1/131_funk-fast_125_fill_4-4.mid	drummer1/session1/131_funk-fast_125_fill_4-4.wav	train	funk	3
47	125	fill	4/4	drummer1/session1/132_funk-fast_125_fill_4-4.mid	drummer1/session1/132_funk-fast_125_fill_4-4.wav	train	funk	7
48	125	fill	4/4	drummer1/session1/133_funk-fast_125_fill_4-4.mid	drummer1/session1/133_funk-fast_125_fill_4-4.wav	validation	funk	3
49	125	fill	4/4	drummer1/session1/134_funk-fast_125_fill_4-4.mid	drummer1/session1/134_funk-fast_125_fill_4-4.wav	train	funk	4
50	125	fill	4/4	drummer1/session1/135_funk-fast_125_fill_4-4.mid	drummer1/session1/135_funk-fast_125_fill_4-4.wav	train	funk	4
51	125	fill	4/4	drummer1/session1/136_funk-fast_125_fill_4-4.mid	drummer1/session1/136_funk-fast_125_fill_4-4.wav	train	funk	4
52	125	fill	4/4	drummer1/session1/137_funk-fast_125_fill_4-4.mid	drummer1/session1/137_funk-fast_125_fill_4-4.wav	train	funk	3
53	125	fill	4/4	drummer1/session1/138_funk-fast_125_fill_4-4.mid	drummer1/session1/138_funk-fast_125_fill_4-4.wav	train	funk	3
54	125	fill	4/4	drummer1/session1/139_funk-fast_125_fill_4-4.mid	drummer1/session1/139_funk-fast_125_fill_4-4.wav	train	funk	3
55	116	fill	4/4	drummer1/session1/14_jazz-funk_116_fill_4-4.mid	drummer1/session1/14_jazz-funk_116_fill_4-4.wav	train	jazz	7
56	125	fill	4/4	drummer1/session1/140_funk-fast_125_fill_4-4.mid	drummer1/session1/140_funk-fast_125_fill_4-4.wav	validation	funk	3
57	125	fill	4/4	drummer1/session1/141_funk-fast_125_fill_4-4.mid	drummer1/session1/141_funk-fast_125_fill_4-4.wav	test	funk	4
58	125	fill	4/4	drummer1/session1/142_funk-fast_125_fill_4-4.mid	drummer1/session1/142_funk-fast_125_fill_4-4.wav	train	funk	4
59	125	fill	4/4	drummer1/session1/143_funk-fast_125_fill_4-4.mid	drummer1/session1/143_funk-fast_125_fill_4-4.wav	train	funk	4
60	125	fill	4/4	drummer1/session1/144_funk-fast_125_fill_4-4.mid	drummer1/session1/144_funk-fast_125_fill_4-4.wav	train	funk	3
61	95	beat	4/4	drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.mid	drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.wav	validation	latin	48
62	95	beat	4/4	drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.mid	drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.wav	train	latin	340
63	95	fill	4/4	drummer1/session1/147_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/147_latin-brazilian-baiao_95_fill_4-4.wav	validation	latin	3
64	95	fill	4/4	drummer1/session1/148_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/148_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
65	95	fill	4/4	drummer1/session1/149_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/149_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	3
66	116	fill	4/4	drummer1/session1/15_jazz-funk_116_fill_4-4.mid	drummer1/session1/15_jazz-funk_116_fill_4-4.wav	train	jazz	7
67	95	fill	4/4	drummer1/session1/150_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/150_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
68	95	fill	4/4	drummer1/session1/151_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/151_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
69	95	fill	4/4	drummer1/session1/152_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/152_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
70	95	fill	4/4	drummer1/session1/153_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/153_latin-brazilian-baiao_95_fill_4-4.wav	test	latin	4
71	95	fill	4/4	drummer1/session1/154_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/154_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
72	95	fill	4/4	drummer1/session1/155_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/155_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
73	95	fill	4/4	drummer1/session1/156_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/156_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	3
74	95	fill	4/4	drummer1/session1/157_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/157_latin-brazilian-baiao_95_fill_4-4.wav	validation	latin	4
75	95	fill	4/4	drummer1/session1/158_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/158_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
76	95	fill	4/4	drummer1/session1/159_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/159_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
77	116	fill	4/4	drummer1/session1/16_jazz-funk_116_fill_4-4.mid	drummer1/session1/16_jazz-funk_116_fill_4-4.wav	validation	jazz	7
78	95	fill	4/4	drummer1/session1/160_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/160_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
79	95	fill	4/4	drummer1/session1/161_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/161_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
80	95	fill	4/4	drummer1/session1/162_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/162_latin-brazilian-baiao_95_fill_4-4.wav	validation	latin	3
81	95	fill	4/4	drummer1/session1/163_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/163_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
82	95	fill	4/4	drummer1/session1/164_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/164_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	3
83	95	fill	4/4	drummer1/session1/165_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/165_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
84	95	fill	4/4	drummer1/session1/166_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/166_latin-brazilian-baiao_95_fill_4-4.wav	test	latin	4
85	95	fill	4/4	drummer1/session1/167_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/167_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
86	95	fill	4/4	drummer1/session1/168_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/168_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
87	95	fill	4/4	drummer1/session1/169_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/169_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
88	116	fill	4/4	drummer1/session1/17_jazz-funk_116_fill_4-4.mid	drummer1/session1/17_jazz-funk_116_fill_4-4.wav	validation	jazz	8
89	95	fill	4/4	drummer1/session1/170_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/170_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
90	95	fill	4/4	drummer1/session1/171_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/171_latin-brazilian-baiao_95_fill_4-4.wav	validation	latin	4
91	95	fill	4/4	drummer1/session1/172_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/172_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
92	95	fill	4/4	drummer1/session1/173_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/173_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
93	95	fill	4/4	drummer1/session1/174_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/174_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
94	95	fill	4/4	drummer1/session1/175_latin-brazilian-baiao_95_fill_4-4.mid	drummer1/session1/175_latin-brazilian-baiao_95_fill_4-4.wav	train	latin	4
95	105	beat	4/4	drummer1/session1/176_afrocuban_105_beat_4-4.mid	drummer1/session1/176_afrocuban_105_beat_4-4.wav	train	afro	392
96	105	fill	4/4	drummer1/session1/177_afrocuban_105_fill_4-4.mid	drummer1/session1/177_afrocuban_105_fill_4-4.wav	train	afro	4
97	105	fill	4/4	drummer1/session1/178_afrocuban_105_fill_4-4.mid	drummer1/session1/178_afrocuban_105_fill_4-4.wav	train	afro	4
98	105	fill	4/4	drummer1/session1/179_afrocuban_105_fill_4-4.mid	drummer1/session1/179_afrocuban_105_fill_4-4.wav	train	afro	4
99	116	fill	4/4	drummer1/session1/18_jazz-funk_116_fill_4-4.mid	drummer1/session1/18_jazz-funk_116_fill_4-4.wav	test	jazz	7
100	105	fill	4/4	drummer1/session1/180_afrocuban_105_fill_4-4.mid	drummer1/session1/180_afrocuban_105_fill_4-4.wav	train	afro	4
101	105	fill	4/4	drummer1/session1/181_afrocuban_105_fill_4-4.mid	drummer1/session1/181_afrocuban_105_fill_4-4.wav	train	afro	3
102	105	fill	4/4	drummer1/session1/182_afrocuban_105_fill_4-4.mid	drummer1/session1/182_afrocuban_105_fill_4-4.wav	train	afro	4
103	105	beat	4/4	drummer1/session1/183_afrocuban_105_beat_4-4.mid	drummer1/session1/183_afrocuban_105_beat_4-4.wav	train	afro	235
104	78	beat	4/4	drummer1/session1/184_reggae_78_beat_4-4.mid	drummer1/session1/184_reggae_78_beat_4-4.wav	train	soul	149
105	78	fill	4/4	drummer1/session1/185_reggae_78_fill_4-4.mid	drummer1/session1/185_reggae_78_fill_4-4.wav	train	soul	4
106	78	fill	4/4	drummer1/session1/186_reggae_78_fill_4-4.mid	drummer1/session1/186_reggae_78_fill_4-4.wav	train	soul	4
107	78	fill	4/4	drummer1/session1/187_reggae_78_fill_4-4.mid	drummer1/session1/187_reggae_78_fill_4-4.wav	train	soul	4
108	78	fill	4/4	drummer1/session1/188_reggae_78_fill_4-4.mid	drummer1/session1/188_reggae_78_fill_4-4.wav	train	soul	4
109	78	fill	4/4	drummer1/session1/189_reggae_78_fill_4-4.mid	drummer1/session1/189_reggae_78_fill_4-4.wav	test	soul	4
110	116	fill	4/4	drummer1/session1/19_jazz-funk_116_fill_4-4.mid	drummer1/session1/19_jazz-funk_116_fill_4-4.wav	train	jazz	3
111	78	fill	4/4	drummer1/session1/190_reggae_78_fill_4-4.mid	drummer1/session1/190_reggae_78_fill_4-4.wav	train	soul	4
112	78	fill	4/4	drummer1/session1/191_reggae_78_fill_4-4.mid	drummer1/session1/191_reggae_78_fill_4-4.wav	train	soul	3
113	78	fill	4/4	drummer1/session1/192_reggae_78_fill_4-4.mid	drummer1/session1/192_reggae_78_fill_4-4.wav	train	soul	3
114	78	fill	4/4	drummer1/session1/193_reggae_78_fill_4-4.mid	drummer1/session1/193_reggae_78_fill_4-4.wav	train	soul	3
115	78	fill	4/4	drummer1/session1/194_reggae_78_fill_4-4.mid	drummer1/session1/194_reggae_78_fill_4-4.wav	test	soul	4
116	78	fill	4/4	drummer1/session1/195_reggae_78_fill_4-4.mid	drummer1/session1/195_reggae_78_fill_4-4.wav	train	soul	4
117	78	fill	4/4	drummer1/session1/196_reggae_78_fill_4-4.mid	drummer1/session1/196_reggae_78_fill_4-4.wav	validation	soul	4
118	78	fill	4/4	drummer1/session1/197_reggae_78_fill_4-4.mid	drummer1/session1/197_reggae_78_fill_4-4.wav	train	soul	4
119	78	fill	4/4	drummer1/session1/198_reggae_78_fill_4-4.mid	drummer1/session1/198_reggae_78_fill_4-4.wav	train	soul	4
120	78	fill	4/4	drummer1/session1/199_reggae_78_fill_4-4.mid	drummer1/session1/199_reggae_78_fill_4-4.wav	train	soul	3
121	80	beat	4/4	drummer1/session1/2_funk_80_beat_4-4.mid	drummer1/session1/2_funk_80_beat_4-4.wav	validation	funk	116
122	116	fill	4/4	drummer1/session1/20_jazz-funk_116_fill_4-4.mid	drummer1/session1/20_jazz-funk_116_fill_4-4.wav	train	jazz	3
123	78	fill	4/4	drummer1/session1/200_reggae_78_fill_4-4.mid	drummer1/session1/200_reggae_78_fill_4-4.wav	train	soul	4
124	64	beat	4/4	drummer1/session1/201_reggae-slow_64_beat_4-4.mid	drummer1/session1/201_reggae-slow_64_beat_4-4.wav	train	soul	120
125	140	beat	4/4	drummer1/session1/202_rock-halftime_140_beat_4-4.mid	drummer1/session1/202_rock-halftime_140_beat_4-4.wav	train	rock	506
126	140	fill	4/4	drummer1/session1/203_rock-halftime_140_fill_4-4.mid	drummer1/session1/203_rock-halftime_140_fill_4-4.wav	validation	rock	8
127	140	fill	4/4	drummer1/session1/204_rock-halftime_140_fill_4-4.mid	drummer1/session1/204_rock-halftime_140_fill_4-4.wav	train	rock	7
128	140	fill	4/4	drummer1/session1/205_rock-halftime_140_fill_4-4.mid	drummer1/session1/205_rock-halftime_140_fill_4-4.wav	validation	rock	7
129	140	fill	4/4	drummer1/session1/206_rock-halftime_140_fill_4-4.mid	drummer1/session1/206_rock-halftime_140_fill_4-4.wav	train	rock	7
130	140	fill	4/4	drummer1/session1/207_rock-halftime_140_fill_4-4.mid	drummer1/session1/207_rock-halftime_140_fill_4-4.wav	test	rock	6
131	140	fill	4/4	drummer1/session1/208_rock-halftime_140_fill_4-4.mid	drummer1/session1/208_rock-halftime_140_fill_4-4.wav	train	rock	2
132	140	fill	4/4	drummer1/session1/209_rock-halftime_140_fill_4-4.mid	drummer1/session1/209_rock-halftime_140_fill_4-4.wav	train	rock	3
133	116	fill	4/4	drummer1/session1/21_jazz-funk_116_fill_4-4.mid	drummer1/session1/21_jazz-funk_116_fill_4-4.wav	train	jazz	4
134	140	fill	4/4	drummer1/session1/210_rock-halftime_140_fill_4-4.mid	drummer1/session1/210_rock-halftime_140_fill_4-4.wav	train	rock	3
135	140	fill	4/4	drummer1/session1/211_rock-halftime_140_fill_4-4.mid	drummer1/session1/211_rock-halftime_140_fill_4-4.wav	train	rock	3
136	140	fill	4/4	drummer1/session1/212_rock-halftime_140_fill_4-4.mid	drummer1/session1/212_rock-halftime_140_fill_4-4.wav	test	rock	3
137	140	fill	4/4	drummer1/session1/213_rock-halftime_140_fill_4-4.mid	drummer1/session1/213_rock-halftime_140_fill_4-4.wav	train	rock	3
138	140	fill	4/4	drummer1/session1/214_rock-halftime_140_fill_4-4.mid	drummer1/session1/214_rock-halftime_140_fill_4-4.wav	train	rock	3
139	140	fill	4/4	drummer1/session1/215_rock-halftime_140_fill_4-4.mid	drummer1/session1/215_rock-halftime_140_fill_4-4.wav	train	rock	4
140	140	fill	4/4	drummer1/session1/216_rock-halftime_140_fill_4-4.mid	drummer1/session1/216_rock-halftime_140_fill_4-4.wav	validation	rock	4
141	140	fill	4/4	drummer1/session1/217_rock-halftime_140_fill_4-4.mid	drummer1/session1/217_rock-halftime_140_fill_4-4.wav	train	rock	4
142	140	fill	4/4	drummer1/session1/218_rock-halftime_140_fill_4-4.mid	drummer1/session1/218_rock-halftime_140_fill_4-4.wav	validation	rock	4
143	140	fill	4/4	drummer1/session1/219_rock-halftime_140_fill_4-4.mid	drummer1/session1/219_rock-halftime_140_fill_4-4.wav	train	rock	7
144	116	fill	4/4	drummer1/session1/22_jazz-funk_116_fill_4-4.mid	drummer1/session1/22_jazz-funk_116_fill_4-4.wav	train	jazz	4
145	140	fill	4/4	drummer1/session1/220_rock-halftime_140_fill_4-4.mid	drummer1/session1/220_rock-halftime_140_fill_4-4.wav	train	rock	7
146	140	fill	4/4	drummer1/session1/221_rock-halftime_140_fill_4-4.mid	drummer1/session1/221_rock-halftime_140_fill_4-4.wav	train	rock	3
147	140	fill	4/4	drummer1/session1/222_rock-halftime_140_fill_4-4.mid	drummer1/session1/222_rock-halftime_140_fill_4-4.wav	train	rock	3
148	140	fill	4/4	drummer1/session1/223_rock-halftime_140_fill_4-4.mid	drummer1/session1/223_rock-halftime_140_fill_4-4.wav	train	rock	3
149	140	fill	4/4	drummer1/session1/224_rock-halftime_140_fill_4-4.mid	drummer1/session1/224_rock-halftime_140_fill_4-4.wav	train	rock	3
150	140	fill	4/4	drummer1/session1/225_rock-halftime_140_fill_4-4.mid	drummer1/session1/225_rock-halftime_140_fill_4-4.wav	train	rock	3
151	140	fill	4/4	drummer1/session1/226_rock-halftime_140_fill_4-4.mid	drummer1/session1/226_rock-halftime_140_fill_4-4.wav	train	rock	6
152	140	fill	4/4	drummer1/session1/227_rock-halftime_140_fill_4-4.mid	drummer1/session1/227_rock-halftime_140_fill_4-4.wav	train	rock	6
153	140	fill	4/4	drummer1/session1/228_rock-halftime_140_fill_4-4.mid	drummer1/session1/228_rock-halftime_140_fill_4-4.wav	train	rock	6
154	140	fill	4/4	drummer1/session1/229_rock-halftime_140_fill_4-4.mid	drummer1/session1/229_rock-halftime_140_fill_4-4.wav	train	rock	6
155	116	fill	4/4	drummer1/session1/23_jazz-funk_116_fill_4-4.mid	drummer1/session1/23_jazz-funk_116_fill_4-4.wav	train	jazz	4
156	140	fill	4/4	drummer1/session1/230_rock-halftime_140_fill_4-4.mid	drummer1/session1/230_rock-halftime_140_fill_4-4.wav	train	rock	7
157	140	fill	4/4	drummer1/session1/231_rock-halftime_140_fill_4-4.mid	drummer1/session1/231_rock-halftime_140_fill_4-4.wav	train	rock	8
158	140	fill	4/4	drummer1/session1/232_rock-halftime_140_fill_4-4.mid	drummer1/session1/232_rock-halftime_140_fill_4-4.wav	train	rock	6
159	140	fill	4/4	drummer1/session1/233_rock-halftime_140_fill_4-4.mid	drummer1/session1/233_rock-halftime_140_fill_4-4.wav	train	rock	2
160	140	fill	4/4	drummer1/session1/234_rock-halftime_140_fill_4-4.mid	drummer1/session1/234_rock-halftime_140_fill_4-4.wav	train	rock	2
161	140	fill	4/4	drummer1/session1/235_rock-halftime_140_fill_4-4.mid	drummer1/session1/235_rock-halftime_140_fill_4-4.wav	train	rock	3
162	140	fill	4/4	drummer1/session1/236_rock-halftime_140_fill_4-4.mid	drummer1/session1/236_rock-halftime_140_fill_4-4.wav	validation	rock	2
163	140	fill	4/4	drummer1/session1/237_rock-halftime_140_fill_4-4.mid	drummer1/session1/237_rock-halftime_140_fill_4-4.wav	train	rock	4
164	140	fill	4/4	drummer1/session1/238_rock-halftime_140_fill_4-4.mid	drummer1/session1/238_rock-halftime_140_fill_4-4.wav	validation	rock	8
165	130	beat	4/4	drummer1/session1/239_funk-purdieshuffle_130_beat_4-4.mid	drummer1/session1/239_funk-purdieshuffle_130_beat_4-4.wav	test	funk	420
166	116	fill	4/4	drummer1/session1/24_jazz-funk_116_fill_4-4.mid	drummer1/session1/24_jazz-funk_116_fill_4-4.wav	train	jazz	3
167	130	fill	4/4	drummer1/session1/240_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/240_funk-purdieshuffle_130_fill_4-4.wav	train	funk	7
168	130	fill	4/4	drummer1/session1/241_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/241_funk-purdieshuffle_130_fill_4-4.wav	train	funk	7
169	130	fill	4/4	drummer1/session1/242_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/242_funk-purdieshuffle_130_fill_4-4.wav	train	funk	8
170	130	fill	4/4	drummer1/session1/243_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/243_funk-purdieshuffle_130_fill_4-4.wav	train	funk	4
171	130	fill	4/4	drummer1/session1/244_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/244_funk-purdieshuffle_130_fill_4-4.wav	train	funk	3
172	130	fill	4/4	drummer1/session1/245_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/245_funk-purdieshuffle_130_fill_4-4.wav	train	funk	4
173	130	fill	4/4	drummer1/session1/246_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/246_funk-purdieshuffle_130_fill_4-4.wav	train	funk	8
174	130	fill	4/4	drummer1/session1/247_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/247_funk-purdieshuffle_130_fill_4-4.wav	train	funk	8
175	130	fill	4/4	drummer1/session1/248_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/248_funk-purdieshuffle_130_fill_4-4.wav	train	funk	4
176	130	fill	4/4	drummer1/session1/249_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/249_funk-purdieshuffle_130_fill_4-4.wav	train	funk	4
177	116	fill	4/4	drummer1/session1/25_jazz-funk_116_fill_4-4.mid	drummer1/session1/25_jazz-funk_116_fill_4-4.wav	train	jazz	4
178	130	fill	4/4	drummer1/session1/250_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/250_funk-purdieshuffle_130_fill_4-4.wav	test	funk	4
179	130	fill	4/4	drummer1/session1/251_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/251_funk-purdieshuffle_130_fill_4-4.wav	train	funk	4
180	130	fill	4/4	drummer1/session1/252_funk-purdieshuffle_130_fill_4-4.mid	drummer1/session1/252_funk-purdieshuffle_130_fill_4-4.wav	train	funk	4
